VGM to MIDI conversion process started.
Pos: 0x2F8, Cmd: 0xC6
Pos: 0x2FC, Cmd: 0xC6
Pos: 0x300, Cmd: 0x72
Pos: 0x301, Cmd: 0xBC
Pos: 0x304, Cmd: 0x61
Pos: 0x307, Cmd: 0xBC
Pos: 0x30A, Cmd: 0x75
Pos: 0x30B, Cmd: 0xBC
Pos: 0x30E, Cmd: 0x75
Pos: 0x30F, Cmd: 0xBC
Pos: 0x312, Cmd: 0x73
Pos: 0x313, Cmd: 0xBC
Pos: 0x316, Cmd: 0x71
Pos: 0x317, Cmd: 0xBC
Pos: 0x31A, Cmd: 0x61
Pos: 0x31D, Cmd: 0xBC
Pos: 0x320, Cmd: 0x74
Pos: 0x321, Cmd: 0xBC
Pos: 0x324, Cmd: 0x75
Pos: 0x325, Cmd: 0xBC
Pos: 0x328, Cmd: 0x72
Pos: 0x329, Cmd: 0xBC
Pos: 0x32C, Cmd: 0x71
Pos: 0x32D, Cmd: 0xBC
Pos: 0x330, Cmd: 0x61
Pos: 0x333, Cmd: 0xBC
Pos: 0x336, Cmd: 0x74
Pos: 0x337, Cmd: 0xBC
Pos: 0x33A, Cmd: 0x75
Pos: 0x33B, Cmd: 0xBC
Pos: 0x33E, Cmd: 0x73
Pos: 0x33F, Cmd: 0xBC
Pos: 0x342, Cmd: 0x71
Pos: 0x343, Cmd: 0xBC
Pos: 0x346, Cmd: 0x61
Pos: 0x349, Cmd: 0xBC
Pos: 0x34C, Cmd: 0x74
Pos: 0x34D, Cmd: 0xBC
Pos: 0x350, Cmd: 0x74
Pos: 0x351, Cmd: 0xBC
Pos: 0x354, Cmd: 0x73
Pos: 0x355, Cmd: 0xBC
Pos: 0x358, Cmd: 0x70
Pos: 0x359, Cmd: 0xBC
Pos: 0x35C, Cmd: 0x61
Pos: 0x35F, Cmd: 0xBC
Pos: 0x362, Cmd: 0x75
Pos: 0x363, Cmd: 0xBC
Pos: 0x366, Cmd: 0x75
Pos: 0x367, Cmd: 0xBC
Pos: 0x36A, Cmd: 0x73
Pos: 0x36B, Cmd: 0xBC
Pos: 0x36E, Cmd: 0x71
Pos: 0x36F, Cmd: 0xBC
Pos: 0x372, Cmd: 0x61
Pos: 0x375, Cmd: 0xBC
Pos: 0x378, Cmd: 0x73
Pos: 0x379, Cmd: 0xBC
Pos: 0x37C, Cmd: 0x74
Pos: 0x37D, Cmd: 0xBC
Pos: 0x380, Cmd: 0x73
Pos: 0x381, Cmd: 0xBC
Pos: 0x384, Cmd: 0x70
Pos: 0x385, Cmd: 0xBC
Pos: 0x388, Cmd: 0x61
Pos: 0x38B, Cmd: 0xBC
Pos: 0x38E, Cmd: 0x74
Pos: 0x38F, Cmd: 0xBC
Pos: 0x392, Cmd: 0x75
Pos: 0x393, Cmd: 0xBC
Pos: 0x396, Cmd: 0x73
Pos: 0x397, Cmd: 0xBC
Pos: 0x39A, Cmd: 0x71
Pos: 0x39B, Cmd: 0xBC
Pos: 0x39E, Cmd: 0x61
Pos: 0x3A1, Cmd: 0xBC
Pos: 0x3A4, Cmd: 0x74
Pos: 0x3A5, Cmd: 0xBC
Pos: 0x3A8, Cmd: 0x74
Pos: 0x3A9, Cmd: 0xBC
Pos: 0x3AC, Cmd: 0x73
Pos: 0x3AD, Cmd: 0xBC
Pos: 0x3B0, Cmd: 0x70
Pos: 0x3B1, Cmd: 0xBC
Pos: 0x3B4, Cmd: 0x61
