Starting command dump from offset 0xe0
0x00002f60: 0x00002f63: 0xbc (WS Write) - Port: 0x8, Val: 0x55
0x00002f66: 0x00002f67: 0xbc (WS Write) - Port: 0x9, Val: 0x55
0x00002f6a: 0x00002f6b: 0xbc (WS Write) - Port: 0xa, Val: 0x33
0x00002f6e: 0x00002f6f: 0xbc (WS Write) - Port: 0xb, Val: 0x13
0x00002f72: 0x00002f73: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x00002f76: 0x00002f79: 0xbc (WS Write) - Port: 0x8, Val: 0x66
0x00002f7c: 0x00002f7d: 0xbc (WS Write) - Port: 0x9, Val: 0x55
0x00002f80: 0x00002f81: 0xbc (WS Write) - Port: 0xa, Val: 0x33
0x00002f84: 0x00002f85: 0xbc (WS Write) - Port: 0xb, Val: 0x13
0x00002f88: 0x00002f89: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x00002f8c: 0x00002f8f: 0xbc (WS Write) - Port: 0x8, Val: 0x66
0x00002f92: 0x00002f93: 0xbc (WS Write) - Port: 0x9, Val: 0x44
0x00002f96: 0x00002f97: 0xbc (WS Write) - Port: 0xa, Val: 0x33
0x00002f9a: 0x00002f9b: 0xbc (WS Write) - Port: 0xb, Val: 0x12
0x00002f9e: 0x00002f9f: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x00002fa2: 0x00002fa5: 0xbc (WS Write) - Port: 0x8, Val: 0x77
0x00002fa8: 0x00002fa9: 0xbc (WS Write) - Port: 0x9, Val: 0x44
0x00002fac: 0x00002fad: 0xbc (WS Write) - Port: 0xa, Val: 0x33
0x00002fb0: 0x00002fb1: 0xbc (WS Write) - Port: 0xb, Val: 0x12
0x00002fb4: 0x00002fb5: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x00002fb8: 0x00002fbb: 0xbc (WS Write) - Port: 0x8, Val: 0x77
0x00002fbe: 0x00002fbf: 0xbc (WS Write) - Port: 0x9, Val: 0x44
0x00002fc2: 0x00002fc3: 0xbc (WS Write) - Port: 0x2, Val: 0x9a
0x00002fc6: 0xbc (WS Write) - Port: 0x3, Val: 0x4
0x00002fc9: 0x00002fca: 0xbc (WS Write) - Port: 0xa, Val: 0x33
0x00002fcd: 0x00002fce: 0xbc (WS Write) - Port: 0xb, Val: 0x12
0x00002fd1: 0x00002fd2: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x00002fd5: 0x00002fd8: 0xbc (WS Write) - Port: 0x8, Val: 0x77
0x00002fdb: 0x00002fdc: 0xbc (WS Write) - Port: 0x9, Val: 0x13
0x00002fdf: 0x00002fe0: 0xbc (WS Write) - Port: 0xa, Val: 0x33
0x00002fe3: 0x00002fe4: 0xbc (WS Write) - Port: 0xb, Val: 0x12
0x00002fe7: 0x00002fe8: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x00002feb: 0x00002fee: 0xbc (WS Write) - Port: 0x8, Val: 0x77
0x00002ff1: 0x00002ff2: 0xbc (WS Write) - Port: 0x9, Val: 0x13
0x00002ff5: 0x00002ff6: 0xbc (WS Write) - Port: 0xa, Val: 0x22
0x00002ff9: 0x00002ffa: 0xbc (WS Write) - Port: 0xb, Val: 0x12
0x00002ffd: 0x00002ffe: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x00003001: 0x00003004: 0xbc (WS Write) - Port: 0x8, Val: 0x88
0x00003007: 0x00003008: 0xbc (WS Write) - Port: 0x9, Val: 0x13
0x0000300b: 0x0000300c: 0xbc (WS Write) - Port: 0xa, Val: 0x22
0x0000300f: 0x00003010: 0xbc (WS Write) - Port: 0xb, Val: 0x12
0x00003013: 0x00003014: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x00003017: 0x0000301a: 0xbc (WS Write) - Port: 0x8, Val: 0x88
0x0000301d: 0x0000301e: 0xbc (WS Write) - Port: 0x9, Val: 0x13
0x00003021: 0x00003022: 0xbc (WS Write) - Port: 0xa, Val: 0x22
0x00003025: 0x00003026: 0xbc (WS Write) - Port: 0xb, Val: 0x12
0x00003029: 0x0000302a: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x0000302d: 0x00003030: 0xbc (WS Write) - Port: 0x8, Val: 0x88
0x00003033: 0x00003034: 0xbc (WS Write) - Port: 0x9, Val: 0x13
0x00003037: 0x00003038: 0xbc (WS Write) - Port: 0xa, Val: 0x22
0x0000303b: 0x0000303c: 0xbc (WS Write) - Port: 0xb, Val: 0x11
0x0000303f: 0x00003040: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x00003043: 0x00003046: 0xbc (WS Write) - Port: 0x8, Val: 0x88
0x00003049: 0x0000304a: 0xbc (WS Write) - Port: 0x9, Val: 0x13
0x0000304d: 0x0000304e: 0xbc (WS Write) - Port: 0xa, Val: 0x22
0x00003051: 0x00003052: 0xbc (WS Write) - Port: 0xb, Val: 0x11
0x00003055: 0x00003056: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x00003059: 0x0000305c: 0xbc (WS Write) - Port: 0x8, Val: 0x99
0x0000305f: 0x00003060: 0xbc (WS Write) - Port: 0x0, Val: 0x26
0x00003063: 0xbc (WS Write) - Port: 0x1, Val: 0x7
0x00003066: 0x00003067: 0xbc (WS Write) - Port: 0x9, Val: 0x13
0x0000306a: 0x0000306b: 0xc6 (RAM Write) - Addr: 0x9000, Val: 0xcc
0x0000306f: 0xc6 (RAM Write) - Addr: 0x9100, Val: 0xdd
0x00003073: 0xc6 (RAM Write) - Addr: 0x9200, Val: 0xee
0x00003077: 0xc6 (RAM Write) - Addr: 0x9300, Val: 0xee
0x0000307b: 0xc6 (RAM Write) - Addr: 0x9400, Val: 0xee
0x0000307f: 0xc6 (RAM Write) - Addr: 0x9500, Val: 0xee
0x00003083: 0xc6 (RAM Write) - Addr: 0x9600, Val: 0xdd
0x00003087: 0xc6 (RAM Write) - Addr: 0x9700, Val: 0xcc
0x0000308b: 0xc6 (RAM Write) - Addr: 0x9800, Val: 0x33
0x0000308f: 0xc6 (RAM Write) - Addr: 0x9900, Val: 0x22
0x00003093: 0xc6 (RAM Write) - Addr: 0x9a00, Val: 0x11
0x00003097: 0xc6 (RAM Write) - Addr: 0x9b00, Val: 0x11
0x0000309b: 0xc6 (RAM Write) - Addr: 0x9c00, Val: 0x11
0x0000309f: 0xc6 (RAM Write) - Addr: 0x9d00, Val: 0x11
0x000030a3: 0xc6 (RAM Write) - Addr: 0x9e00, Val: 0x22
0x000030a7: 0xc6 (RAM Write) - Addr: 0x9f00, Val: 0x33
0x000030ab: 0x000030ac: 0xbc (WS Write) - Port: 0x2, Val: 0xfd
0x000030af: 0xbc (WS Write) - Port: 0x3, Val: 0x6
0x000030b2: 0x000030b3: 0xbc (WS Write) - Port: 0xa, Val: 0x22
0x000030b6: 0x000030b7: 0xbc (WS Write) - Port: 0x4, Val: 0x26
0x000030ba: 0xbc (WS Write) - Port: 0x5, Val: 0x7
0x000030bd: 0x000030be: 0xbc (WS Write) - Port: 0xc, Val: 0x0
0x000030c1: 0x000030c2: 0xbc (WS Write) - Port: 0xb, Val: 0x11
0x000030c5: 0x000030c6: 0xbc (WS Write) - Port: 0x6, Val: 0x26
0x000030c9: 0xbc (WS Write) - Port: 0x7, Val: 0x7
0x000030cc: 0x000030cd: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x000030d0: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x000030d3: 0x000030d6: 0xbc (WS Write) - Port: 0x8, Val: 0x44
0x000030d9: 0x000030da: 0xbc (WS Write) - Port: 0x9, Val: 0x66
0x000030dd: 0x000030de: 0xbc (WS Write) - Port: 0xa, Val: 0x44
0x000030e1: 0x000030e2: 0xbc (WS Write) - Port: 0xb, Val: 0x31
0x000030e5: 0x000030e6: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x000030e9: 0x000030ec: 0xbc (WS Write) - Port: 0x8, Val: 0x44
0x000030ef: 0x000030f0: 0xbc (WS Write) - Port: 0x9, Val: 0x66
0x000030f3: 0x000030f4: 0xbc (WS Write) - Port: 0xa, Val: 0x44
0x000030f7: 0x000030f8: 0xbc (WS Write) - Port: 0xb, Val: 0x31
0x000030fb: 0x000030fc: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x000030ff: 0x00003102: 0xbc (WS Write) - Port: 0x8, Val: 0x44
0x00003105: 0x00003106: 0xbc (WS Write) - Port: 0x9, Val: 0x66
0x00003109: 0x0000310a: 0xbc (WS Write) - Port: 0xa, Val: 0x44
0x0000310d: 0x0000310e: 0xbc (WS Write) - Port: 0xb, Val: 0x31
0x00003111: 0x00003112: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x00003115: 0x00003118: 0xbc (WS Write) - Port: 0x8, Val: 0x44
0x0000311b: 0x0000311c: 0xbc (WS Write) - Port: 0x9, Val: 0x66
0x0000311f: 0x00003120: 0xbc (WS Write) - Port: 0xa, Val: 0x33
0x00003123: 0x00003124: 0xbc (WS Write) - Port: 0xb, Val: 0x31
0x00003127: 0x00003128: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x0000312b: 0x0000312e: 0xbc (WS Write) - Port: 0x8, Val: 0x44
0x00003131: 0x00003132: 0xbc (WS Write) - Port: 0x9, Val: 0x66
0x00003135: 0x00003136: 0xbc (WS Write) - Port: 0xa, Val: 0x33
0x00003139: 0x0000313a: 0xbc (WS Write) - Port: 0xb, Val: 0x31
0x0000313d: 0x0000313e: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x00003141: 0x00003144: 0xbc (WS Write) - Port: 0x8, Val: 0x44
0x00003147: 0x00003148: 0xbc (WS Write) - Port: 0x9, Val: 0x66
0x0000314b: 0x0000314c: 0xbc (WS Write) - Port: 0xa, Val: 0x33
0x0000314f: 0x00003150: 0xbc (WS Write) - Port: 0xb, Val: 0x21
0x00003153: 0x00003154: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x00003157: 0x0000315a: 0xbc (WS Write) - Port: 0x8, Val: 0x44
0x0000315d: 0x0000315e: 0xbc (WS Write) - Port: 0x9, Val: 0x66
0x00003161: 0x00003162: 0xbc (WS Write) - Port: 0xa, Val: 0x33
0x00003165: 0x00003166: 0xbc (WS Write) - Port: 0xb, Val: 0x21
0x00003169: 0x0000316a: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x0000316d: 0x00003170: 0xbc (WS Write) - Port: 0x8, Val: 0x44
0x00003173: 0x00003174: 0xbc (WS Write) - Port: 0x9, Val: 0x55
0x00003177: 0x00003178: 0xbc (WS Write) - Port: 0xa, Val: 0x33
0x0000317b: 0x0000317c: 0xbc (WS Write) - Port: 0xb, Val: 0x21
0x0000317f: 0x00003180: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x00003183: 0x00003186: 0xbc (WS Write) - Port: 0x8, Val: 0x55
0x00003189: 0x0000318a: 0xbc (WS Write) - Port: 0x9, Val: 0x55
0x0000318d: 0x0000318e: 0xbc (WS Write) - Port: 0xa, Val: 0x33
0x00003191: 0x00003192: 0xbc (WS Write) - Port: 0xb, Val: 0x21
0x00003195: 0x00003196: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x00003199: 0x0000319c: 0xbc (WS Write) - Port: 0x8, Val: 0x55
0x0000319f: 0x000031a0: 0xbc (WS Write) - Port: 0x9, Val: 0x55
0x000031a3: 0x000031a4: 0xbc (WS Write) - Port: 0xa, Val: 0x22
0x000031a7: 0x000031a8: 0xbc (WS Write) - Port: 0xb, Val: 0x21
0x000031ab: 0x000031ac: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x000031af: 0x000031b2: 0xbc (WS Write) - Port: 0x8, Val: 0x55
0x000031b5: 0x000031b6: 0xbc (WS Write) - Port: 0x9, Val: 0x55
0x000031b9: 0x000031ba: 0xbc (WS Write) - Port: 0xa, Val: 0x22
0x000031bd: 0x000031be: 0xbc (WS Write) - Port: 0xb, Val: 0x21
0x000031c1: 0x000031c2: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x000031c5: 0x000031c8: 0xbc (WS Write) - Port: 0x8, Val: 0x55
0x000031cb: 0x000031cc: 0xbc (WS Write) - Port: 0x9, Val: 0x55
0x000031cf: 0x000031d0: 0xbc (WS Write) - Port: 0xa, Val: 0x22
0x000031d3: 0x000031d4: 0xbc (WS Write) - Port: 0xb, Val: 0x21
0x000031d7: 0x000031d8: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x000031db: 0x000031de: 0xbc (WS Write) - Port: 0x8, Val: 0x55
0x000031e1: 0x000031e2: 0xbc (WS Write) - Port: 0x9, Val: 0x55
0x000031e5: 0x000031e6: 0xbc (WS Write) - Port: 0xa, Val: 0x22
0x000031e9: 0x000031ea: 0xbc (WS Write) - Port: 0xb, Val: 0x11
0x000031ed: 0x000031ee: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x000031f1: 0x000031f4: 0xbc (WS Write) - Port: 0x8, Val: 0x55
0x000031f7: 0x000031f8: 0xbc (WS Write) - Port: 0x9, Val: 0x55
0x000031fb: 0x000031fc: 0xbc (WS Write) - Port: 0xa, Val: 0x22
0x000031ff: 0x00003200: 0xbc (WS Write) - Port: 0xb, Val: 0x11
0x00003203: 0x00003204: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x00003207: 0x0000320a: 0xbc (WS Write) - Port: 0x8, Val: 0x55
0x0000320d: 0x0000320e: 0xbc (WS Write) - Port: 0x9, Val: 0x44
0x00003211: 0x00003212: 0xbc (WS Write) - Port: 0x2, Val: 0xf2
0x00003215: 0xbc (WS Write) - Port: 0x3, Val: 0x3
0x00003218: 0x00003219: 0xbc (WS Write) - Port: 0xa, Val: 0x22
0x0000321c: 0x0000321d: 0xbc (WS Write) - Port: 0x4, Val: 0x26
0x00003220: 0xbc (WS Write) - Port: 0x5, Val: 0x7
0x00003223: 0xbc (WS Write) - Port: 0xc, Val: 0x0
0x00003226: 0x00003227: 0xbc (WS Write) - Port: 0xb, Val: 0x11
0x0000322a: 0x0000322b: 0xc6 (RAM Write) - Addr: 0xb000, Val: 0xcb
0x0000322f: 0xc6 (RAM Write) - Addr: 0xb100, Val: 0xde
0x00003233: 0xc6 (RAM Write) - Addr: 0xb200, Val: 0xed
0x00003237: 0xc6 (RAM Write) - Addr: 0xb300, Val: 0xbc
0x0000323b: 0x0000323c: 0xc6 (RAM Write) - Addr: 0xb400, Val: 0x33
0x00003240: 0xc6 (RAM Write) - Addr: 0xb500, Val: 0x22
0x00003244: 0xc6 (RAM Write) - Addr: 0xb600, Val: 0x11
0x00003248: 0xc6 (RAM Write) - Addr: 0xb700, Val: 0x11
0x0000324c: 0xc6 (RAM Write) - Addr: 0xb800, Val: 0x0
0x00003250: 0xc6 (RAM Write) - Addr: 0xb900, Val: 0x0
0x00003254: 0xc6 (RAM Write) - Addr: 0xba00, Val: 0x0
0x00003258: 0xc6 (RAM Write) - Addr: 0xbb00, Val: 0x0
0x0000325c: 0xc6 (RAM Write) - Addr: 0xbc00, Val: 0x11
0x00003260: 0xc6 (RAM Write) - Addr: 0xbd00, Val: 0x11
0x00003264: 0xc6 (RAM Write) - Addr: 0xbe00, Val: 0x22
0x00003268: 0xc6 (RAM Write) - Addr: 0xbf00, Val: 0x33
0x0000326c: 0x0000326d: 0xbc (WS Write) - Port: 0x6, Val: 0x26
0x00003270: 0xbc (WS Write) - Port: 0x7, Val: 0x7
0x00003273: 0x00003274: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x00003277: 0x00003278: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x0000327b: 0x0000327e: 0xbc (WS Write) - Port: 0x8, Val: 0x55
0x00003281: 0x00003282: 0xbc (WS Write) - Port: 0x9, Val: 0x66
0x00003285: 0x00003286: 0xbc (WS Write) - Port: 0xa, Val: 0x44
0x00003289: 0x0000328a: 0xbc (WS Write) - Port: 0xb, Val: 0x11
0x0000328d: 0x0000328e: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x00003291: 0x00003294: 0xbc (WS Write) - Port: 0x8, Val: 0x66
0x00003297: 0x00003298: 0xbc (WS Write) - Port: 0x9, Val: 0x66
0x0000329b: 0x0000329c: 0xbc (WS Write) - Port: 0xa, Val: 0x44
0x0000329f: 0x000032a0: 0xbc (WS Write) - Port: 0xb, Val: 0x11
0x000032a3: 0x000032a4: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x000032a7: 0x000032aa: 0xbc (WS Write) - Port: 0x8, Val: 0x66
0x000032ad: 0x000032ae: 0xbc (WS Write) - Port: 0x9, Val: 0x55
0x000032b1: 0x000032b2: 0xbc (WS Write) - Port: 0xa, Val: 0x44
0x000032b5: 0x000032b6: 0xbc (WS Write) - Port: 0xb, Val: 0x11
0x000032b9: 0x000032ba: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x000032bd: 0x000032c0: 0xbc (WS Write) - Port: 0x8, Val: 0x66
0x000032c3: 0x000032c4: 0xbc (WS Write) - Port: 0x9, Val: 0x55
0x000032c7: 0x000032c8: 0xbc (WS Write) - Port: 0xa, Val: 0x44
0x000032cb: 0x000032cc: 0xbc (WS Write) - Port: 0xb, Val: 0x11
0x000032cf: 0x000032d0: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x000032d3: 0x000032d6: 0xbc (WS Write) - Port: 0x8, Val: 0x66
0x000032d9: 0x000032da: 0xbc (WS Write) - Port: 0x9, Val: 0x44
0x000032dd: 0x000032de: 0xbc (WS Write) - Port: 0xa, Val: 0x44
0x000032e1: 0x000032e2: 0xbc (WS Write) - Port: 0xb, Val: 0x11
0x000032e5: 0x000032e6: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x000032e9: 0x000032ec: 0xbc (WS Write) - Port: 0x8, Val: 0x66
0x000032ef: 0x000032f0: 0xbc (WS Write) - Port: 0x9, Val: 0x44
0x000032f3: 0x000032f4: 0xbc (WS Write) - Port: 0xa, Val: 0x33
0x000032f7: 0x000032f8: 0xbc (WS Write) - Port: 0xb, Val: 0x11
0x000032fb: 0x000032fc: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x000032ff: 0x00003302: 0xbc (WS Write) - Port: 0x8, Val: 0x66
0x00003305: 0x00003306: 0xbc (WS Write) - Port: 0x9, Val: 0x44
0x00003309: 0x0000330a: 0xbc (WS Write) - Port: 0xa, Val: 0x33
0x0000330d: 0x0000330e: 0xbc (WS Write) - Port: 0xb, Val: 0x11
0x00003311: 0x00003312: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x00003315: 0x00003318: 0xbc (WS Write) - Port: 0x8, Val: 0x66
0x0000331b: 0x0000331c: 0xbc (WS Write) - Port: 0x9, Val: 0x33
0x0000331f: 0x00003320: 0xbc (WS Write) - Port: 0x2, Val: 0xf2
0x00003323: 0xbc (WS Write) - Port: 0x3, Val: 0x3
0x00003326: 0x00003327: 0xbc (WS Write) - Port: 0xa, Val: 0x33
0x0000332a: 0x0000332b: 0xbc (WS Write) - Port: 0xb, Val: 0x11
0x0000332e: 0x0000332f: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x00003332: 0x00003335: 0xbc (WS Write) - Port: 0x8, Val: 0x66
0x00003338: 0x00003339: 0xbc (WS Write) - Port: 0x9, Val: 0x30
0x0000333c: 0x0000333d: 0xbc (WS Write) - Port: 0xa, Val: 0x33
0x00003340: 0x00003341: 0xbc (WS Write) - Port: 0xb, Val: 0x11
0x00003344: 0x00003345: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x00003348: 0x0000334b: 0xbc (WS Write) - Port: 0x8, Val: 0x77
0x0000334e: 0x0000334f: 0xbc (WS Write) - Port: 0x9, Val: 0x30
0x00003352: 0x00003353: 0xbc (WS Write) - Port: 0xa, Val: 0x33
0x00003356: 0x00003357: 0xbc (WS Write) - Port: 0xb, Val: 0x11
0x0000335a: 0x0000335b: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x0000335e: 0x00003361: 0xbc (WS Write) - Port: 0x8, Val: 0x77
0x00003364: 0x00003365: 0xbc (WS Write) - Port: 0x9, Val: 0x30
0x00003368: 0x00003369: 0xbc (WS Write) - Port: 0xa, Val: 0x33
0x0000336c: 0x0000336d: 0xbc (WS Write) - Port: 0xb, Val: 0x11
0x00003370: 0x00003371: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x00003374: 0x00003377: 0xbc (WS Write) - Port: 0x8, Val: 0x77
0x0000337a: 0x0000337b: 0xbc (WS Write) - Port: 0x9, Val: 0x20
0x0000337e: 0x0000337f: 0xbc (WS Write) - Port: 0xa, Val: 0x33
0x00003382: 0x00003383: 0xbc (WS Write) - Port: 0xb, Val: 0x11
0x00003386: 0x00003387: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x0000338a: 0x0000338d: 0xbc (WS Write) - Port: 0x8, Val: 0x77
0x00003390: 0x00003391: 0xbc (WS Write) - Port: 0x9, Val: 0x20
0x00003394: 0x00003395: 0xbc (WS Write) - Port: 0xa, Val: 0x33
0x00003398: 0x00003399: 0xbc (WS Write) - Port: 0xb, Val: 0x11
0x0000339c: 0x0000339d: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x000033a0: 0x000033a3: 0xbc (WS Write) - Port: 0x8, Val: 0x77
0x000033a6: 0x000033a7: 0xbc (WS Write) - Port: 0x9, Val: 0x20
0x000033aa: 0x000033ab: 0xbc (WS Write) - Port: 0xa, Val: 0x33
0x000033ae: 0x000033af: 0xbc (WS Write) - Port: 0xb, Val: 0x11
0x000033b2: 0x000033b3: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x000033b6: 0x000033b9: 0xbc (WS Write) - Port: 0x8, Val: 0x77
0x000033bc: 0x000033bd: 0xbc (WS Write) - Port: 0x9, Val: 0x20
0x000033c0: 0x000033c1: 0xbc (WS Write) - Port: 0xa, Val: 0x33
0x000033c4: 0x000033c5: 0xbc (WS Write) - Port: 0xb, Val: 0x11
0x000033c8: 0x000033c9: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x000033cc: 0x000033cf: 0xbc (WS Write) - Port: 0x8, Val: 0x77
0x000033d2: 0x000033d3: 0xbc (WS Write) - Port: 0x9, Val: 0x20
0x000033d6: 0x000033d7: 0xbc (WS Write) - Port: 0x2, Val: 0x4b
0x000033da: 0xbc (WS Write) - Port: 0x3, Val: 0x5
0x000033dd: 0x000033de: 0xbc (WS Write) - Port: 0xa, Val: 0x22
0x000033e1: 0x000033e2: 0xbc (WS Write) - Port: 0xb, Val: 0x11
0x000033e5: 0x000033e6: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x000033e9: 0x000033ec: 0xbc (WS Write) - Port: 0x8, Val: 0x77
0x000033ef: 0x000033f0: 0xbc (WS Write) - Port: 0x9, Val: 0x66
0x000033f3: 0x000033f4: 0xbc (WS Write) - Port: 0xa, Val: 0x22
0x000033f7: 0x000033f8: 0xbc (WS Write) - Port: 0xb, Val: 0x21
0x000033fb: 0x000033fc: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x000033ff: 0x00003402: 0xbc (WS Write) - Port: 0x8, Val: 0x77
0x00003405: 0x00003406: 0xbc (WS Write) - Port: 0x9, Val: 0x66
0x00003409: 0x0000340a: 0xbc (WS Write) - Port: 0xa, Val: 0x22
0x0000340d: 0x0000340e: 0xbc (WS Write) - Port: 0xb, Val: 0x21
0x00003411: 0x00003412: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x00003415: 0x00003418: 0xbc (WS Write) - Port: 0x8, Val: 0x77
0x0000341b: 0x0000341c: 0xbc (WS Write) - Port: 0x9, Val: 0x55
0x0000341f: 0x00003420: 0xbc (WS Write) - Port: 0xa, Val: 0x22
0x00003423: 0x00003424: 0xbc (WS Write) - Port: 0xb, Val: 0x21
0x00003427: 0x00003428: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x0000342b: 0x0000342e: 0xbc (WS Write) - Port: 0x8, Val: 0x77
0x00003431: 0x00003432: 0xbc (WS Write) - Port: 0x9, Val: 0x55
0x00003435: 0x00003436: 0xbc (WS Write) - Port: 0xa, Val: 0x22
0x00003439: 0x0000343a: 0xbc (WS Write) - Port: 0xb, Val: 0x21
0x0000343d: 0x0000343e: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x00003441: 0x00003444: 0xbc (WS Write) - Port: 0x8, Val: 0x77
0x00003447: 0x00003448: 0xbc (WS Write) - Port: 0x9, Val: 0x44
0x0000344b: 0x0000344c: 0xbc (WS Write) - Port: 0xa, Val: 0x22
0x0000344f: 0x00003450: 0xbc (WS Write) - Port: 0xb, Val: 0x21
0x00003453: 0x00003454: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x00003457: 0x0000345a: 0xbc (WS Write) - Port: 0x8, Val: 0x77
0x0000345d: 0x0000345e: 0xbc (WS Write) - Port: 0x9, Val: 0x44
0x00003461: 0x00003462: 0xbc (WS Write) - Port: 0xa, Val: 0x22
0x00003465: 0x00003466: 0xbc (WS Write) - Port: 0xb, Val: 0x21
0x00003469: 0x0000346a: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x0000346d: 0x00003470: 0xbc (WS Write) - Port: 0x8, Val: 0x77
0x00003473: 0x00003474: 0xbc (WS Write) - Port: 0x9, Val: 0x44
0x00003477: 0x00003478: 0xbc (WS Write) - Port: 0x2, Val: 0x4b
0x0000347b: 0xbc (WS Write) - Port: 0x3, Val: 0x5
0x0000347e: 0x0000347f: 0xbc (WS Write) - Port: 0xa, Val: 0x22
0x00003482: 0x00003483: 0xbc (WS Write) - Port: 0xb, Val: 0x21
0x00003486: 0x00003487: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x0000348a: 0x0000348d: 0xbc (WS Write) - Port: 0x8, Val: 0x77
0x00003490: 0x00003491: 0xbc (WS Write) - Port: 0x9, Val: 0x3
0x00003494: 0x00003495: 0xbc (WS Write) - Port: 0xa, Val: 0x22
0x00003498: 0x00003499: 0xbc (WS Write) - Port: 0xb, Val: 0x21
0x0000349c: 0x0000349d: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x000034a0: 0x000034a3: 0xbc (WS Write) - Port: 0x8, Val: 0x77
0x000034a6: 0x000034a7: 0xbc (WS Write) - Port: 0x9, Val: 0x3
0x000034aa: 0x000034ab: 0xbc (WS Write) - Port: 0xa, Val: 0x22
0x000034ae: 0x000034af: 0xbc (WS Write) - Port: 0xb, Val: 0x21
0x000034b2: 0x000034b3: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x000034b6: 0x000034b9: 0xbc (WS Write) - Port: 0x8, Val: 0x77
0x000034bc: 0x000034bd: 0xbc (WS Write) - Port: 0x9, Val: 0x3
0x000034c0: 0x000034c1: 0xbc (WS Write) - Port: 0xa, Val: 0x11
0x000034c4: 0x000034c5: 0xbc (WS Write) - Port: 0xb, Val: 0x21
0x000034c8: 0x000034c9: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x000034cc: 0x000034cf: 0xbc (WS Write) - Port: 0x8, Val: 0x77
0x000034d2: 0x000034d3: 0xbc (WS Write) - Port: 0x9, Val: 0x2
0x000034d6: 0x000034d7: 0xbc (WS Write) - Port: 0xa, Val: 0x11
0x000034da: 0x000034db: 0xbc (WS Write) - Port: 0xb, Val: 0x21
0x000034de: 0x000034df: 0xbc (WS Write) - Port: 0x10, Val: 0x4f
0x000034e2: 0x000034e5: 0xbc (WS Write) - Port: 0x8, Val: 0x77
0x000034e8: 0x000034e9: 0xbc (WS Write) - Port: 0x9, Val: 0x2
0x000034ec: 0x000034ed: 0xbc (WS Write) - Port: 0xa, Val: 0x11
0x000034f0: 0x000034f1: 0xbc (WS Write) - Port: 0xb, Val: 0x21
