Starting command dump from offset 0xe0
0x00000219: 0xc6 (RAM Write) - Addr: 0x9c00, Val: 0x0
0x0000021d: 0xc6 (RAM Write) - Addr: 0x9d00, Val: 0x0
0x00000221: 0xc6 (RAM Write) - Addr: 0x9e00, Val: 0x0
0x00000225: 0xc6 (RAM Write) - Addr: 0x9f00, Val: 0x0
0x00000229: 0x0000022a: 0xbc (WS Write) - Port: 0x2, Val: 0xf6
0x0000022d: 0xbc (WS Write) - Port: 0x3, Val: 0x4
0x00000230: 0x00000231: 0xc6 (RAM Write) - Addr: 0xa000, Val: 0xff
0x00000235: 0xc6 (RAM Write) - Addr: 0xa100, Val: 0xff
0x00000239: 0xc6 (RAM Write) - Addr: 0xa200, Val: 0xff
0x0000023d: 0xc6 (RAM Write) - Addr: 0xa300, Val: 0xff
0x00000241: 0xc6 (RAM Write) - Addr: 0xa400, Val: 0xff
0x00000245: 0xc6 (RAM Write) - Addr: 0xa500, Val: 0xff
0x00000249: 0xc6 (RAM Write) - Addr: 0xa600, Val: 0x0
0x0000024d: 0xc6 (RAM Write) - Addr: 0xa700, Val: 0x0
0x00000251: 0xc6 (RAM Write) - Addr: 0xa800, Val: 0xdd
0x00000255: 0xc6 (RAM Write) - Addr: 0xa900, Val: 0xdd
0x00000259: 0xc6 (RAM Write) - Addr: 0xaa00, Val: 0xff
0x0000025d: 0xc6 (RAM Write) - Addr: 0xab00, Val: 0xff
0x00000261: 0xc6 (RAM Write) - Addr: 0xac00, Val: 0xff
0x00000265: 0xc6 (RAM Write) - Addr: 0xad00, Val: 0xff
0x00000269: 0xc6 (RAM Write) - Addr: 0xae00, Val: 0x0
0x0000026d: 0xc6 (RAM Write) - Addr: 0xaf00, Val: 0xff
0x00000271: 0x00000272: 0xc6 (RAM Write) - Addr: 0xa000, Val: 0x43
0x00000276: 0xc6 (RAM Write) - Addr: 0xa100, Val: 0x22
0x0000027a: 0xc6 (RAM Write) - Addr: 0xa200, Val: 0xff
0x0000027e: 0xc6 (RAM Write) - Addr: 0xa300, Val: 0xee
0x00000282: 0xc6 (RAM Write) - Addr: 0xa400, Val: 0x36
0x00000286: 0xc6 (RAM Write) - Addr: 0xa500, Val: 0x9c
0x0000028a: 0xc6 (RAM Write) - Addr: 0xa600, Val: 0x6
0x0000028e: 0xc6 (RAM Write) - Addr: 0xa700, Val: 0xcf
0x00000292: 0xc6 (RAM Write) - Addr: 0xa800, Val: 0xff
0x00000296: 0xc6 (RAM Write) - Addr: 0xa900, Val: 0xff
0x0000029a: 0xc6 (RAM Write) - Addr: 0xaa00, Val: 0xff
0x0000029e: 0xc6 (RAM Write) - Addr: 0xab00, Val: 0x2
0x000002a2: 0x000002a3: 0xc6 (RAM Write) - Addr: 0xac00, Val: 0x67
0x000002a7: 0xc6 (RAM Write) - Addr: 0xad00, Val: 0xa0
0x000002ab: 0xc6 (RAM Write) - Addr: 0xae00, Val: 0x0
0x000002af: 0xc6 (RAM Write) - Addr: 0xaf00, Val: 0x12
0x000002b3: 0x000002b4: 0xbc (WS Write) - Port: 0x4, Val: 0x7b
0x000002b7: 0xbc (WS Write) - Port: 0x5, Val: 0x6
0x000002ba: 0x000002bb: 0xbc (WS Write) - Port: 0xc, Val: 0x0
0x000002be: 0x000002bf: 0xc6 (RAM Write) - Addr: 0xb000, Val: 0xfd
0x000002c3: 0xc6 (RAM Write) - Addr: 0xb100, Val: 0x96
0x000002c7: 0xc6 (RAM Write) - Addr: 0xb200, Val: 0x30
0x000002cb: 0xc6 (RAM Write) - Addr: 0xb300, Val: 0xfb
0x000002cf: 0xc6 (RAM Write) - Addr: 0xb400, Val: 0x85
0x000002d3: 0xc6 (RAM Write) - Addr: 0xb500, Val: 0x42
0x000002d7: 0xc6 (RAM Write) - Addr: 0xb600, Val: 0x12
0x000002db: 0xc6 (RAM Write) - Addr: 0xb700, Val: 0x45
0x000002df: 0xc6 (RAM Write) - Addr: 0xb800, Val: 0x64
0x000002e3: 0xc6 (RAM Write) - Addr: 0xb900, Val: 0x22
0x000002e7: 0x000002e8: 0xc6 (RAM Write) - Addr: 0xba00, Val: 0x35
0x000002ec: 0xc6 (RAM Write) - Addr: 0xbb00, Val: 0xae
0x000002f0: 0xc6 (RAM Write) - Addr: 0xbc00, Val: 0xfd
0x000002f4: 0xc6 (RAM Write) - Addr: 0xbd00, Val: 0xb8
0x000002f8: 0xc6 (RAM Write) - Addr: 0xbe00, Val: 0x75
0x000002fc: 0xc6 (RAM Write) - Addr: 0xbf00, Val: 0x32
0x00000300: 0x00000301: 0xbc (WS Write) - Port: 0x10, Val: 0x47
0x00000304: 0x00000307: 0xbc (WS Write) - Port: 0x8, Val: 0x55
0x0000030a: 0x0000030b: 0xbc (WS Write) - Port: 0x9, Val: 0x33
0x0000030e: 0x0000030f: 0xbc (WS Write) - Port: 0xa, Val: 0x44
0x00000312: 0x00000313: 0xbc (WS Write) - Port: 0xb, Val: 0x0
0x00000316: 0x00000317: 0xbc (WS Write) - Port: 0x10, Val: 0x47
0x0000031a: 0x0000031d: 0xbc (WS Write) - Port: 0x8, Val: 0x55
0x00000320: 0x00000321: 0xbc (WS Write) - Port: 0x9, Val: 0x33
0x00000324: 0x00000325: 0xbc (WS Write) - Port: 0xa, Val: 0x44
0x00000328: 0x00000329: 0xbc (WS Write) - Port: 0xb, Val: 0x0
0x0000032c: 0x0000032d: 0xbc (WS Write) - Port: 0x10, Val: 0x47
0x00000330: 0x00000333: 0xbc (WS Write) - Port: 0x8, Val: 0x55
0x00000336: 0x00000337: 0xbc (WS Write) - Port: 0x9, Val: 0x33
0x0000033a: 0x0000033b: 0xbc (WS Write) - Port: 0xa, Val: 0x44
0x0000033e: 0x0000033f: 0xbc (WS Write) - Port: 0xb, Val: 0x0
0x00000342: 0x00000343: 0xbc (WS Write) - Port: 0x10, Val: 0x47
0x00000346: 0x00000349: 0xbc (WS Write) - Port: 0x8, Val: 0x55
0x0000034c: 0x0000034d: 0xbc (WS Write) - Port: 0x9, Val: 0x33
0x00000350: 0x00000351: 0xbc (WS Write) - Port: 0xa, Val: 0x33
0x00000354: 0x00000355: 0xbc (WS Write) - Port: 0xb, Val: 0x0
0x00000358: 0x00000359: 0xbc (WS Write) - Port: 0x10, Val: 0x47
0x0000035c: 0x0000035f: 0xbc (WS Write) - Port: 0x8, Val: 0x66
0x00000362: 0x00000363: 0xbc (WS Write) - Port: 0x9, Val: 0x33
0x00000366: 0x00000367: 0xbc (WS Write) - Port: 0xa, Val: 0x33
0x0000036a: 0x0000036b: 0xbc (WS Write) - Port: 0xb, Val: 0x0
0x0000036e: 0x0000036f: 0xbc (WS Write) - Port: 0x10, Val: 0x47
0x00000372: 0x00000375: 0xbc (WS Write) - Port: 0x8, Val: 0x66
0x00000378: 0x00000379: 0xbc (WS Write) - Port: 0x9, Val: 0x44
